Experiment;Name;Year;Sowing;Harvest;Fertilisation_min;Crop;Lat;Long;Elevation
EX149;HUB_Thyrow_D1;2013;20.08.2012;22.07.2013;fert24;WC;52.252;13.235;47
EX150;HUB_Thyrow_D1;2013;04.10.2012;02.08.2013;fert26;WR;52.252;13.235;47
EX151;HUB_Thyrow_D1;2013;04.10.2012;26.07.2013;fert26;WW;52.252;13.235;47
EX152;HUB_Thyrow_D1;2013;23.04.2013;10.09.2013;fert25;PO;52.252;13.235;47
EX153;HUB_Thyrow_D1;2013;20.08.2012;22.07.2013;fert23;WC;52.252;13.235;47
EX154;HUB_Thyrow_D1;2013;04.10.2012;02.08.2013;fert25;WR;52.252;13.235;47
EX155;HUB_Thyrow_D1;2013;04.10.2012;26.07.2013;fert25;WW;52.252;13.235;47
EX156;HUB_Thyrow_D1;2013;23.04.2013;10.09.2013;fert25;PO;52.252;13.235;47
EX157;HUB_Thyrow_D1;2013;20.08.2012;22.07.2013;fert23;WC;52.252;13.235;47
EX158;HUB_Thyrow_D1;2013;04.10.2012;02.08.2013;fert25;WR;52.252;13.235;47
EX159;HUB_Thyrow_D1;2013;04.10.2012;26.07.2013;fert25;WW;52.252;13.235;47
EX160;HUB_Thyrow_D1;2013;23.04.2013;10.09.2013;no_fert;PO;52.252;13.235;47
EX161;HUB_Thyrow_D1;2013;20.08.2012;22.07.2013;no_fert;WC;52.252;13.235;47
EX162;HUB_Thyrow_D1;2013;04.10.2012;02.08.2013;no_fert;WR;52.252;13.235;47
EX163;HUB_Thyrow_D1;2013;04.10.2012;26.07.2013;no_fert;WW;52.252;13.235;47
EX164;HUB_Thyrow_D1;2013;23.04.2013;10.09.2013;fert26;PO;52.252;13.235;47
EX165;HUB_Thyrow_D1;2013;20.08.2012;22.07.2013;fert24;WC;52.252;13.235;47
EX166;HUB_Thyrow_D1;2013;04.10.2012;02.08.2013;fert26;WR;52.252;13.235;47
EX167;HUB_Thyrow_D1;2013;04.10.2012;26.07.2013;fert26;WW;52.252;13.235;47
EX168;HUB_Thyrow_D1;2013;23.04.2013;10.09.2013;fert25;PO;52.252;13.235;47
EX169;HUB_Thyrow_D1;2013;20.08.2012;22.07.2013;fert23;WC;52.252;13.235;47
EX170;HUB_Thyrow_D1;2013;04.10.2012;02.08.2013;fert25;WR;52.252;13.235;47
EX171;HUB_Thyrow_D1;2013;04.10.2012;26.07.2013;fert25;WW;52.252;13.235;47
EX172;HUB_Thyrow_D1;2013;23.04.2013;10.09.2013;fert25;PO;52.252;13.235;47
EX173;HUB_Thyrow_D1;2013;20.08.2012;22.07.2013;fert23;WC;52.252;13.235;47
EX174;HUB_Thyrow_D1;2013;04.10.2012;02.08.2013;fert25;WR;52.252;13.235;47
EX175;HUB_Thyrow_D1;2013;04.10.2012;26.07.2013;fert25;WW;52.252;13.235;47
EX176;HUB_Thyrow_D1;2014;10.04.2014;28.08.2014;no_fert;PO;52.252;13.235;47
EX177;HUB_Thyrow_D1;2014;28.08.2013;10.07.2014;no_fert;WC;52.252;13.235;47
EX178;HUB_Thyrow_D1;2014;01.10.2013;21.07.2014;no_fert;WR;52.252;13.235;47
EX179;HUB_Thyrow_D1;2014;16.10.2013;21.07.2014;no_fert;WW;52.252;13.235;47
EX180;HUB_Thyrow_D1;2014;10.04.2014;28.08.2014;fert30;PO;52.252;13.235;47
EX181;HUB_Thyrow_D1;2014;28.08.2013;10.07.2014;fert32;WC;52.252;13.235;47
EX182;HUB_Thyrow_D1;2014;01.10.2013;21.07.2014;fert28;WR;52.252;13.235;47
EX183;HUB_Thyrow_D1;2014;16.10.2013;21.07.2014;fert28;WW;52.252;13.235;47
EX184;HUB_Thyrow_D1;2014;10.04.2014;28.08.2014;fert29;PO;52.252;13.235;47
EX185;HUB_Thyrow_D1;2014;28.08.2013;10.07.2014;fert31;WC;52.252;13.235;47
EX186;HUB_Thyrow_D1;2014;01.10.2013;21.07.2014;fert27;WR;52.252;13.235;47
EX187;HUB_Thyrow_D1;2014;16.10.2013;21.07.2014;fert27;WW;52.252;13.235;47
EX188;HUB_Thyrow_D1;2014;10.04.2014;28.08.2014;fert29;PO;52.252;13.235;47
EX189;HUB_Thyrow_D1;2014;28.08.2013;10.07.2014;fert31;WC;52.252;13.235;47
EX190;HUB_Thyrow_D1;2014;01.10.2013;21.07.2014;fert27;WR;52.252;13.235;47
EX191;HUB_Thyrow_D1;2014;16.10.2013;21.07.2014;fert27;WW;52.252;13.235;47
EX192;HUB_Thyrow_D1;2014;10.04.2014;28.08.2014;no_fert;PO;52.252;13.235;47
EX193;HUB_Thyrow_D1;2014;28.08.2013;10.07.2014;no_fert;WC;52.252;13.235;47
EX194;HUB_Thyrow_D1;2014;01.10.2013;21.07.2014;no_fert;WR;52.252;13.235;47
EX195;HUB_Thyrow_D1;2014;16.10.2013;21.07.2014;no_fert;WW;52.252;13.235;47
EX196;HUB_Thyrow_D1;2014;10.04.2014;28.08.2014;fert30;PO;52.252;13.235;47
EX197;HUB_Thyrow_D1;2014;28.08.2013;10.07.2014;fert32;WC;52.252;13.235;47
EX198;HUB_Thyrow_D1;2014;01.10.2013;21.07.2014;fert28;WR;52.252;13.235;47
EX199;HUB_Thyrow_D1;2014;16.10.2013;21.07.2014;fert28;WW;52.252;13.235;47
EX200;HUB_Thyrow_D1;2014;10.04.2014;28.08.2014;fert29;PO;52.252;13.235;47
EX201;HUB_Thyrow_D1;2014;28.08.2013;10.07.2014;fert31;WC;52.252;13.235;47
EX202;HUB_Thyrow_D1;2014;01.10.2013;21.07.2014;fert27;WR;52.252;13.235;47
EX203;HUB_Thyrow_D1;2014;16.10.2013;21.07.2014;fert27;WW;52.252;13.235;47
EX204;HUB_Thyrow_D1;2014;10.04.2014;28.08.2014;fert29;PO;52.252;13.235;47
EX205;HUB_Thyrow_D1;2014;28.08.2013;10.07.2014;fert31;WC;52.252;13.235;47
EX206;HUB_Thyrow_D1;2014;01.10.2013;21.07.2014;fert27;WR;52.252;13.235;47
EX207;HUB_Thyrow_D1;2014;16.10.2013;21.07.2014;fert27;WW;52.252;13.235;47
EX208;HUB_Thyrow_D1;2015;14.04.2015;10.09.2015;no_fert;PO;52.252;13.235;47
EX209;HUB_Thyrow_D1;2015;26.08.2014;21.07.2015;no_fert;WC;52.252;13.235;47
EX210;HUB_Thyrow_D1;2015;24.09.2014;04.08.2015;no_fert;WR;52.252;13.235;47
EX211;HUB_Thyrow_D1;2015;24.09.2014;23.07.2015;no_fert;WW;52.252;13.235;47
EX212;HUB_Thyrow_D1;2015;14.04.2015;10.09.2015;fert34;PO;52.252;13.235;47
EX213;HUB_Thyrow_D1;2015;26.08.2014;21.07.2015;fert38;WC;52.252;13.235;47
EX214;HUB_Thyrow_D1;2015;24.09.2014;04.08.2015;fert36;WR;52.252;13.235;47
EX215;HUB_Thyrow_D1;2015;24.09.2014;23.07.2015;fert36;WW;52.252;13.235;47
EX216;HUB_Thyrow_D1;2015;14.04.2015;10.09.2015;fert33;PO;52.252;13.235;47
EX217;HUB_Thyrow_D1;2015;26.08.2014;21.07.2015;fert37;WC;52.252;13.235;47
EX218;HUB_Thyrow_D1;2015;24.09.2014;04.08.2015;fert35;WR;52.252;13.235;47
EX219;HUB_Thyrow_D1;2015;24.09.2014;23.07.2015;fert35;WW;52.252;13.235;47
EX220;HUB_Thyrow_D1;2015;14.04.2015;10.09.2015;fert33;PO;52.252;13.235;47
